Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
Barcelona - Ciutadella,Good,2.1874,41.3864,21h,Good,5,21h,Good,70,NA,NA,NA,15-11-2018 22:00,1542315901
Barcelona - Vall Hebron,Good,2.148,41.4261,21h,Good,21,21h,Good,50,21h,Good,16,15-11-2018 22:00,1542315901
Barcelona - Palau Reial,Good,2.1151,41.3875,21h,Good,23,21h,Good,41,21h,Good,19,15-11-2018 22:00,1542315901
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,21h,Good,73,21h,Good,20,15-11-2018 22:00,1542315901
Barcelona - Observ Fabra,Good,2.1239,41.4183,19h,--,NA,19h,--,NA,21h,Good,8,15-11-2018 22:00,1542315901
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,22h,Good,54,NA,NA,NA,15-11-2018 23:00,1542319502
Barcelona - Eixample,Good,2.1538,41.3853,20h,--,NA,20h,--,NA,22h,Good,25,15-11-2018 23:00,1542319502
Barcelona - Gràcia,Good,2.1534,41.3987,22h,Good,26,22h,Good,48,NA,NA,NA,15-11-2018 23:00,1542319502
Barcelona - Ciutadella,Good,2.1874,41.3864,22h,Good,30,22h,Good,38,NA,NA,NA,15-11-2018 23:00,1542319502
Barcelona - Vall Hebron,Good,2.148,41.4261,22h,Good,22,22h,Good,52,22h,Good,16,15-11-2018 23:00,1542319502
Barcelona - Palau Reial,Good,2.1151,41.3875,22h,Good,26,22h,Good,39,22h,Good,18,15-11-2018 23:00,1542319502
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,22h,Good,40,22h,Good,19,15-11-2018 23:00,1542319502
Barcelona - Observ Fabra,Good,2.1239,41.4183,20h,--,NA,20h,--,NA,22h,Good,8,15-11-2018 23:00,1542319502
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,23h,Good,29,NA,NA,NA,16-11-2018 00:00,1542323102
Barcelona - Eixample,Good,2.1538,41.3853,NA,NA,NA,NA,NA,NA,23h,Good,25,16-11-2018 00:00,1542323102
Barcelona - Gràcia,Good,2.1534,41.3987,23h,Good,37,23h,Good,33,NA,NA,NA,16-11-2018 00:00,1542323102
Barcelona - Ciutadella,Good,2.1874,41.3864,23h,Good,41,23h,Good,24,NA,NA,NA,16-11-2018 00:00,1542323102
Barcelona - Vall Hebron,Good,2.148,41.4261,23h,Good,43,23h,Good,29,23h,Good,15,16-11-2018 00:00,1542323102
Barcelona - Palau Reial,Good,2.1151,41.3875,23h,Good,37,23h,Good,22,23h,Good,17,16-11-2018 00:00,1542323102
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,23h,Good,25,23h,Good,18,16-11-2018 00:00,1542323102
Barcelona - Observ Fabra,Good,2.1239,41.4183,NA,NA,NA,NA,NA,NA,22h,Good,8,16-11-2018 00:00,1542323102
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,0h,Good,38,NA,NA,NA,16-11-2018 01:00,1542326702
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,8,0h,Good,61,0h,Good,24,16-11-2018 01:00,1542326702
Barcelona - Gràcia,Good,2.1534,41.3987,0h,Good,9,0h,Good,64,NA,NA,NA,16-11-2018 01:00,1542326702
