Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
Barcelona - Eixample,Good,2.1538,41.3853,19h,Good,13.0,19h,Good,84.0,19h,Good,23.0,16/11/2018 20:00,1542395102
Barcelona - Vall Hebron,Good,2.148,41.4261,19h,Good,16.0,19h,Good,65.0,19h,Good,14.0,16/11/2018 20:00,1542395102
Barcelona - Palau Reial,Good,2.1151,41.3875,19h,Good,20.0,19h,Good,52.0,19h,Good,14.0,16/11/2018 20:00,1542395102
Barcelona - Eixample,Good,2.1538,41.3853,20h,Good,8.0,20h,Good,80.0,20h,Good,23.0,16/11/2018 21:00,1542398702
Barcelona - Vall Hebron,Good,2.148,41.4261,20h,Good,10.0,20h,Good,69.0,20h,Good,15.0,16/11/2018 21:00,1542398702
Barcelona - Palau Reial,Good,2.1151,41.3875,20h,Good,11.0,20h,Good,61.0,20h,Good,14.0,16/11/2018 21:00,1542398702
Barcelona - Eixample,Good,2.1538,41.3853,21h,Good,4.0,21h,Good,85.0,21h,Good,24.0,16/11/2018 22:00,1542402301
Barcelona - Vall Hebron,Good,2.148,41.4261,21h,Good,16.0,21h,Good,63.0,21h,Good,16.0,16/11/2018 22:00,1542402301
Barcelona - Palau Reial,Good,2.1151,41.3875,21h,Good,22.0,21h,Good,47.0,21h,Good,14.0,16/11/2018 22:00,1542402301
Barcelona - Eixample,Good,2.1538,41.3853,21h,Good,4.0,21h,Good,85.0,22h,Good,24.0,16/11/2018 23:00,1542405902
Barcelona - Vall Hebron,Good,2.148,41.4261,22h,Good,37.0,22h,Good,41.0,22h,Good,17.0,16/11/2018 23:00,1542405902
Barcelona - Palau Reial,Good,2.1151,41.3875,22h,Good,36.0,22h,Good,32.0,22h,Good,15.0,16/11/2018 23:00,1542405902
Barcelona - Vall Hebron,Good,2.148,41.4261,23h,Good,37.0,23h,Good,39.0,23h,Good,17.0,17/11/2018 0:00,1542409502
Barcelona - Palau Reial,Good,2.1151,41.3875,23h,Good,38.0,23h,Good,28.0,23h,Good,15.0,17/11/2018 0:00,1542409502
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,4.0,0h,Good,85.0,0h,Good,25.0,17/11/2018 1:00,1542413101
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,31.0,0h,Good,42.0,0h,Good,18.0,17/11/2018 1:00,1542413101
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,40.0,0h,Good,24.0,0h,Good,16.0,17/11/2018 1:00,1542413101
Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,38.0,1h,Good,32.0,1h,Good,19.0,17/11/2018 2:00,1542416702
Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,43.0,1h,Good,20.0,1h,Good,16.0,17/11/2018 2:00,1542416702
Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,36.0,2h,Good,30.0,2h,Good,19.0,17/11/2018 3:00,1542420302
Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,45.0,2h,Good,18.0,2h,Good,17.0,17/11/2018 3:00,1542420302
Barcelona - Observ Fabra,Good,2.1239,41.4183,2h,Good,63.0,2h,Good,15.0,2h,Good,17.0,17/11/2018 3:00,1542420302
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,30.0,3h,Good,37.0,3h,Good,28.0,17/11/2018 4:00,1542423902
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,32.0,3h,Good,29.0,3h,Good,19.0,17/11/2018 4:00,1542423902
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,39.0,3h,Good,19.0,3h,Good,17.0,17/11/2018 4:00,1542423902
Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,65.0,3h,Good,12.0,3h,Good,17.0,17/11/2018 4:00,1542423902
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,30.0,3h,Good,37.0,4h,Good,29.0,17/11/2018 5:00,1542427502
Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,42.0,4h,Good,23.0,4h,Good,19.0,17/11/2018 5:00,1542427502
Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,46.0,4h,Good,13.0,4h,Good,18.0,17/11/2018 5:00,1542427502
Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,70.0,4h,Good,9.0,4h,Good,16.0,17/11/2018 5:00,1542427502
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,30.0,3h,Good,37.0,5h,Good,30.0,17/11/2018 6:00,1542431101
Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,41.0,5h,Good,24.0,5h,Good,19.0,17/11/2018 6:00,1542431101
Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,48.0,5h,Good,11.0,5h,Good,18.0,17/11/2018 6:00,1542431101
Barcelona - Observ Fabra,Good,2.1239,41.4183,5h,Good,72.0,5h,Good,8.0,5h,Good,16.0,17/11/2018 6:00,1542431101
Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,41.0,6h,Good,27.0,6h,Good,20.0,17/11/2018 7:00,1542434702
Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,44.0,6h,Good,15.0,6h,Good,18.0,17/11/2018 7:00,1542434702
